title,price,rating,product_link,title_normalized,price_category,rating_int
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,http://books.toscrape.com/the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,the long shadow of small ghosts: murder and memory in an american city,Low,1
The Kite Runner,41.82,4,http://books.toscrape.com/the-kite-runner_847/index.html,the kite runner,Medium,4
The House by the Lake,36.95,1,http://books.toscrape.com/the-house-by-the-lake_846/index.html,the house by the lake,Medium,1
The Glittering Court (The Glittering Court #1),44.28,1,http://books.toscrape.com/the-glittering-court-the-glittering-court-1_845/index.html,the glittering court (the glittering court #1),Medium,1
The Girl on the Train,55.02,2,http://books.toscrape.com/the-girl-on-the-train_844/index.html,the girl on the train,High,2
The Genius of Birds,17.24,1,http://books.toscrape.com/the-genius-of-birds_843/index.html,the genius of birds,Low,1
The Emerald Mystery,23.15,2,http://books.toscrape.com/the-emerald-mystery_842/index.html,the emerald mystery,Medium,2
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,http://books.toscrape.com/the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,the cookies & cups cookbook: 125+ sweet & savory recipes reminding you to always eat dessert first,Medium,1
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,http://books.toscrape.com/the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,the bridge to consciousness: i'm writing the bridge between science and our old and new beliefs.,Medium,3
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,http://books.toscrape.com/the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,the artist's way: a spiritual path to higher creativity,Medium,5
The Art of War,33.34,5,http://books.toscrape.com/the-art-of-war_838/index.html,the art of war,Medium,5
The Argonauts,10.93,2,http://books.toscrape.com/the-argonauts_837/index.html,the argonauts,Low,2
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,http://books.toscrape.com/the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,the 10% entrepreneur: live your startup dream without quitting your day job,Medium,3
Suddenly in Love (Lake Haven #1),55.99,2,http://books.toscrape.com/suddenly-in-love-lake-haven-1_835/index.html,suddenly in love (lake haven #1),High,2
Something More Than This,16.24,4,http://books.toscrape.com/something-more-than-this_834/index.html,something more than this,Low,4
Soft Apocalypse,26.12,2,http://books.toscrape.com/soft-apocalypse_833/index.html,soft apocalypse,Medium,2
So You've Been Publicly Shamed,12.23,2,http://books.toscrape.com/so-youve-been-publicly-shamed_832/index.html,so you've been publicly shamed,Low,2
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,http://books.toscrape.com/shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,shoe dog: a memoir by the creator of nike,Medium,2
"Shobu Samurai, Project Aryoku (#3)",29.06,3,http://books.toscrape.com/shobu-samurai-project-aryoku-3_830/index.html,"shobu samurai, project aryoku (#3)",Medium,3
Secrets and Lace (Fatal Hearts #1),20.27,1,http://books.toscrape.com/secrets-and-lace-fatal-hearts-1_829/index.html,secrets and lace (fatal hearts #1),Medium,1
Scarlett Epstein Hates It Here,43.55,5,http://books.toscrape.com/scarlett-epstein-hates-it-here_828/index.html,scarlett epstein hates it here,Medium,5
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,http://books.toscrape.com/romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html,romero and juliet: a tragic tale of love and zombies,Medium,1
Redeeming Love,20.47,5,http://books.toscrape.com/redeeming-love_826/index.html,redeeming love,Medium,5
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,http://books.toscrape.com/poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html,poses for artists volume 1 - dynamic and sitting poses: an essential reference for figure drawing and the human form,Medium,1
Poems That Make Grown Women Cry,14.19,4,http://books.toscrape.com/poems-that-make-grown-women-cry_824/index.html,poems that make grown women cry,Low,4
"Nightingale, Sing",38.28,1,http://books.toscrape.com/nightingale-sing_823/index.html,"nightingale, sing",Medium,1
Night Sky with Exit Wounds,41.05,1,http://books.toscrape.com/night-sky-with-exit-wounds_822/index.html,night sky with exit wounds,Medium,1
Mrs. Houdini,30.25,5,http://books.toscrape.com/mrs-houdini_821/index.html,mrs. houdini,Medium,5
Modern Romance,28.26,5,http://books.toscrape.com/modern-romance_820/index.html,modern romance,Medium,5
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,1,http://books.toscrape.com/miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html,miss peregrines home for peculiar children (miss peregrines peculiar children #1),Low,1
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,http://books.toscrape.com/louisa-the-extraordinary-life-of-mrs-adams_818/index.html,louisa: the extraordinary life of mrs. adams,Low,2
Little Red,13.47,3,http://books.toscrape.com/little-red_817/index.html,little red,Low,3
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,5,http://books.toscrape.com/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,library of souls (miss peregrines peculiar children #3),Medium,5
Large Print Heart of the Pride,19.15,2,http://books.toscrape.com/large-print-heart-of-the-pride_815/index.html,large print heart of the pride,Low,2
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,http://books.toscrape.com/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,i had a nice time and other lies...: how to find love & sh*t like that,High,4
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,1,http://books.toscrape.com/hollow-city-miss-peregrines-peculiar-children-2_813/index.html,hollow city (miss peregrines peculiar children #2),Medium,1
Grumbles,22.16,2,http://books.toscrape.com/grumbles_812/index.html,grumbles,Medium,2
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,http://books.toscrape.com/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,full moon over noahs ark: an odyssey to mount ararat and beyond,Medium,4
Frostbite (Vampire Academy #2),29.99,5,http://books.toscrape.com/frostbite-vampire-academy-2_810/index.html,frostbite (vampire academy #2),Medium,5
Follow You Home,21.36,1,http://books.toscrape.com/follow-you-home_809/index.html,follow you home,Medium,1
First Steps for New Christians (Print Edition),29.0,1,http://books.toscrape.com/first-steps-for-new-christians-print-edition_808/index.html,first steps for new christians (print edition),Medium,1
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,http://books.toscrape.com/finders-keepers-bill-hodges-trilogy-2_807/index.html,finders keepers (bill hodges trilogy #2),High,5
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,http://books.toscrape.com/fables-vol-1-legends-in-exile-fables-1_806/index.html,"fables, vol. 1: legends in exile (fables #1)",Medium,4
Eureka Trivia 6.0,54.59,4,http://books.toscrape.com/eureka-trivia-60_805/index.html,eureka trivia 6.0,High,4
Drive: The Surprising Truth About What Motivates Us,34.95,4,http://books.toscrape.com/drive-the-surprising-truth-about-what-motivates-us_804/index.html,drive: the surprising truth about what motivates us,Medium,4
Done Rubbed Out (Reightman & Bailey #1),37.72,5,http://books.toscrape.com/done-rubbed-out-reightman-bailey-1_803/index.html,done rubbed out (reightman & bailey #1),Medium,5
Doing It Over (Most Likely To #1),35.61,3,http://books.toscrape.com/doing-it-over-most-likely-to-1_802/index.html,doing it over (most likely to #1),Medium,3
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,http://books.toscrape.com/deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html,"deliciously ella every day: quick and easy recipes for gluten-free snacks, packed lunches, and simple meals",Medium,3
Dark Notes,19.19,5,http://books.toscrape.com/dark-notes_800/index.html,dark notes,Low,5
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,http://books.toscrape.com/daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead_799/index.html,"daring greatly: how the courage to be vulnerable transforms the way we live, love, parent, and lead",Low,3
Close to You,49.46,4,http://books.toscrape.com/close-to-you_798/index.html,close to you,Medium,4
Chasing Heaven: What Dying Taught Me About Living,37.8,2,http://books.toscrape.com/chasing-heaven-what-dying-taught-me-about-living_797/index.html,chasing heaven: what dying taught me about living,Medium,2
Big Magic: Creative Living Beyond Fear,30.8,3,http://books.toscrape.com/big-magic-creative-living-beyond-fear_796/index.html,big magic: creative living beyond fear,Medium,3
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,http://books.toscrape.com/becoming-wise-an-inquiry-into-the-mystery-and-art-of-living_795/index.html,becoming wise: an inquiry into the mystery and art of living,Medium,2
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2,http://books.toscrape.com/beauty-restored-riley-family-legacy-novellas-3_794/index.html,beauty restored (riley family legacy novellas #3),Low,2
Batman: The Long Halloween (Batman),36.5,2,http://books.toscrape.com/batman-the-long-halloween-batman_793/index.html,batman: the long halloween (batman),Medium,2
Batman: The Dark Knight Returns (Batman),15.38,5,http://books.toscrape.com/batman-the-dark-knight-returns-batman_792/index.html,batman: the dark knight returns (batman),Low,5
Ayumi's Violin,15.48,2,http://books.toscrape.com/ayumis-violin_791/index.html,ayumi's violin,Low,2
Anonymous,46.82,4,http://books.toscrape.com/anonymous_790/index.html,anonymous,Medium,4
Amy Meets the Saints and Sages,18.46,3,http://books.toscrape.com/amy-meets-the-saints-and-sages_789/index.html,amy meets the saints and sages,Low,3
Amid the Chaos,36.58,1,http://books.toscrape.com/amid-the-chaos_788/index.html,amid the chaos,Medium,1
Amatus,50.54,5,http://books.toscrape.com/amatus_787/index.html,amatus,High,5
Agnostic: A Spirited Manifesto,12.51,5,http://books.toscrape.com/agnostic-a-spirited-manifesto_786/index.html,agnostic: a spirited manifesto,Low,5
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,http://books.toscrape.com/zealot-the-life-and-times-of-jesus-of-nazareth_785/index.html,zealot: the life and times of jesus of nazareth,Medium,3
You (You #1),43.61,5,http://books.toscrape.com/you-you-1_784/index.html,you (you #1),Medium,5
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,http://books.toscrape.com/wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html,"wonder woman: earth one, volume one (wonder woman: earth one #1)",Medium,4
Wild Swans,14.36,2,http://books.toscrape.com/wild-swans_782/index.html,wild swans,Low,2
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,http://books.toscrape.com/why-the-right-went-wrong-conservatism-from-goldwater-to-the-tea-party-and-beyond_781/index.html,why the right went wrong: conservatism--from goldwater to the tea party and beyond,High,4
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,http://books.toscrape.com/whole-lotta-creativity-going-on-60-fun-and-unusual-exercises-to-awaken-and-strengthen-your-creativity_780/index.html,whole lotta creativity going on: 60 fun and unusual exercises to awaken and strengthen your creativity,Medium,4
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,http://books.toscrape.com/whats-it-like-in-space-stories-from-astronauts-whove-been-there_779/index.html,what's it like in space?: stories from astronauts who've been there,Low,2
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,http://books.toscrape.com/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html,"we are robin, vol. 1: the vigilante business (we are robin #1)",High,1
Walt Disney's Alice in Wonderland,12.96,5,http://books.toscrape.com/walt-disneys-alice-in-wonderland_777/index.html,walt disney's alice in wonderland,Low,5
V for Vendetta (V for Vendetta Complete),37.1,4,http://books.toscrape.com/v-for-vendetta-v-for-vendetta-complete_776/index.html,v for vendetta (v for vendetta complete),Medium,4
Until Friday Night (The Field Party #1),46.31,2,http://books.toscrape.com/until-friday-night-the-field-party-1_775/index.html,until friday night (the field party #1),Medium,2
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,http://books.toscrape.com/unbroken-a-world-war-ii-story-of-survival-resilience-and-redemption_774/index.html,"unbroken: a world war ii story of survival, resilience, and redemption",Medium,2
Twenty Yawns,22.08,2,http://books.toscrape.com/twenty-yawns_773/index.html,twenty yawns,Medium,2
Through the Woods,25.38,2,http://books.toscrape.com/through-the-woods_772/index.html,through the woods,Medium,2
This Is Where It Ends,27.12,2,http://books.toscrape.com/this-is-where-it-ends_771/index.html,this is where it ends,Medium,2
The Year of Magical Thinking,43.04,2,http://books.toscrape.com/the-year-of-magical-thinking_770/index.html,the year of magical thinking,Medium,2
The Wright Brothers,56.8,4,http://books.toscrape.com/the-wright-brothers_769/index.html,the wright brothers,High,4
The White Queen (The Cousins' War #1),25.91,5,http://books.toscrape.com/the-white-queen-the-cousins-war-1_768/index.html,the white queen (the cousins' war #1),Medium,5
The Wedding Pact (The O'Malleys #2),32.61,3,http://books.toscrape.com/the-wedding-pact-the-omalleys-2_767/index.html,the wedding pact (the o'malleys #2),Medium,3
The Time Keeper,27.88,5,http://books.toscrape.com/the-time-keeper_766/index.html,the time keeper,Medium,5
The Testament of Mary,52.67,4,http://books.toscrape.com/the-testament-of-mary_765/index.html,the testament of mary,High,4
The Star-Touched Queen,46.02,5,http://books.toscrape.com/the-star-touched-queen_764/index.html,the star-touched queen,Medium,5
The Songs of the Gods,44.48,5,http://books.toscrape.com/the-songs-of-the-gods_763/index.html,the songs of the gods,Medium,5
The Song of Achilles,37.4,5,http://books.toscrape.com/the-song-of-achilles_762/index.html,the song of achilles,Medium,5
The Rosie Project (Don Tillman #1),54.04,1,http://books.toscrape.com/the-rosie-project-don-tillman-1_761/index.html,the rosie project (don tillman #1),High,1
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,http://books.toscrape.com/the-power-of-habit-why-we-do-what-we-do-in-life-and-business_760/index.html,the power of habit: why we do what we do in life and business,Low,3
The Marriage of Opposites,28.08,4,http://books.toscrape.com/the-marriage-of-opposites_759/index.html,the marriage of opposites,Medium,4
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,http://books.toscrape.com/the-lucifer-effect-understanding-how-good-people-turn-evil_758/index.html,the lucifer effect: understanding how good people turn evil,Low,1
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,http://books.toscrape.com/the-long-haul-diary-of-a-wimpy-kid-9_757/index.html,the long haul (diary of a wimpy kid #9),Medium,1
The Loney,23.4,1,http://books.toscrape.com/the-loney_756/index.html,the loney,Medium,1
The Literature Book (Big Ideas Simply Explained),17.43,3,http://books.toscrape.com/the-literature-book-big-ideas-simply-explained_755/index.html,the literature book (big ideas simply explained),Low,3
The Last Mile (Amos Decker #2),54.21,2,http://books.toscrape.com/the-last-mile-amos-decker-2_754/index.html,the last mile (amos decker #2),High,2
The Immortal Life of Henrietta Lacks,40.67,2,http://books.toscrape.com/the-immortal-life-of-henrietta-lacks_753/index.html,the immortal life of henrietta lacks,Medium,2
The Hidden Oracle (The Trials of Apollo #1),52.26,2,http://books.toscrape.com/the-hidden-oracle-the-trials-of-apollo-1_752/index.html,the hidden oracle (the trials of apollo #1),High,2
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,http://books.toscrape.com/the-help-yourself-cookbook-for-kids-60-easy-plant-based-recipes-kids-can-make-to-stay-healthy-and-save-the-earth_751/index.html,the help yourself cookbook for kids: 60 easy plant-based recipes kids can make to stay healthy and save the earth,Medium,3
The Guilty (Will Robie #4),13.82,2,http://books.toscrape.com/the-guilty-will-robie-4_750/index.html,the guilty (will robie #4),Low,2
The First Hostage (J.B. Collins #2),25.85,3,http://books.toscrape.com/the-first-hostage-jb-collins-2_749/index.html,the first hostage (j.b. collins #2),Medium,3
The Dovekeepers,48.78,1,http://books.toscrape.com/the-dovekeepers_748/index.html,the dovekeepers,Medium,1
The Darkest Lie,35.35,5,http://books.toscrape.com/the-darkest-lie_747/index.html,the darkest lie,Medium,5
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,http://books.toscrape.com/the-bane-chronicles-the-bane-chronicles-1-11_746/index.html,the bane chronicles (the bane chronicles #1-11),Medium,4
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,1,http://books.toscrape.com/the-bad-ass-librarians-of-timbuktu-and-their-race-to-save-the-worlds-most-precious-manuscripts_745/index.html,the bad-ass librarians of timbuktu: and their race to save the worlds most precious manuscripts,Low,1
The 14th Colony (Cotton Malone #11),39.24,1,http://books.toscrape.com/the-14th-colony-cotton-malone-11_744/index.html,the 14th colony (cotton malone #11),Medium,1
That Darkness (Gardiner and Renner #1),13.92,1,http://books.toscrape.com/that-darkness-gardiner-and-renner-1_743/index.html,that darkness (gardiner and renner #1),Low,1
Tastes Like Fear (DI Marnie Rome #3),10.69,1,http://books.toscrape.com/tastes-like-fear-di-marnie-rome-3_742/index.html,tastes like fear (di marnie rome #3),Low,1
Take Me with You,45.21,3,http://books.toscrape.com/take-me-with-you_741/index.html,take me with you,Medium,3
Swell: A Year of Waves,45.58,1,http://books.toscrape.com/swell-a-year-of-waves_740/index.html,swell: a year of waves,Medium,1
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,http://books.toscrape.com/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html,superman vol. 1: before truth (superman by gene luen yang #1),Low,5
Still Life with Bread Crumbs,26.41,3,http://books.toscrape.com/still-life-with-bread-crumbs_738/index.html,still life with bread crumbs,Medium,3
Steve Jobs,39.5,5,http://books.toscrape.com/steve-jobs_737/index.html,steve jobs,Medium,5
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,http://books.toscrape.com/sorting-the-beef-from-the-bull-the-science-of-food-fraud-forensics_736/index.html,sorting the beef from the bull: the science of food fraud forensics,Medium,4
Someone Like You (The Harrisons #2),52.79,5,http://books.toscrape.com/someone-like-you-the-harrisons-2_735/index.html,someone like you (the harrisons #2),High,5
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,http://books.toscrape.com/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html,"so cute it hurts!!, vol. 6 (so cute it hurts!! #6)",Medium,4
Shtum,55.84,4,http://books.toscrape.com/shtum_733/index.html,shtum,High,4
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,http://books.toscrape.com/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,see america: a celebration of our national parks & treasured sites,Medium,3
salt.,46.78,4,http://books.toscrape.com/salt_731/index.html,salt.,Medium,4
Robin War,47.82,3,http://books.toscrape.com/robin-war_730/index.html,robin war,Medium,3
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,http://books.toscrape.com/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html,"red hood/arsenal, vol. 1: open for business (red hood/arsenal #1)",Medium,2
Rain Fish,23.57,3,http://books.toscrape.com/rain-fish_728/index.html,rain fish,Medium,3
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,http://books.toscrape.com/quarter-life-poetry-poems-for-the-young-broke-and-hangry_727/index.html,"quarter life poetry: poems for the young, broke and hangry",High,5
Pet Sematary,10.56,3,http://books.toscrape.com/pet-sematary_726/index.html,pet sematary,Low,3
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,http://books.toscrape.com/overload-how-to-unplug-unwind-and-unleash-yourself-from-the-pressure-of-stress_725/index.html,"overload: how to unplug, unwind, and unleash yourself from the pressure of stress",High,3
Once Was a Time,18.28,2,http://books.toscrape.com/once-was-a-time_724/index.html,once was a time,Low,2
Old School (Diary of a Wimpy Kid #10),11.83,5,http://books.toscrape.com/old-school-diary-of-a-wimpy-kid-10_723/index.html,old school (diary of a wimpy kid #10),Low,5
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,http://books.toscrape.com/no-dream-is-too-high-life-lessons-from-a-man-who-walked-on-the-moon_722/index.html,no dream is too high: life lessons from a man who walked on the moon,Medium,2
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,http://books.toscrape.com/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html,"naruto (3-in-1 edition), vol. 14: includes vols. 40, 41 & 42 (naruto: omnibus #14)",Medium,2
My Name Is Lucy Barton,41.56,1,http://books.toscrape.com/my-name-is-lucy-barton_720/index.html,my name is lucy barton,Medium,1
My Mrs. Brown,24.48,3,http://books.toscrape.com/my-mrs-brown_719/index.html,my mrs. brown,Medium,3
My Kind of Crazy,40.36,1,http://books.toscrape.com/my-kind-of-crazy_718/index.html,my kind of crazy,Medium,1
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,http://books.toscrape.com/mr-mercedes-bill-hodges-trilogy-1_717/index.html,mr. mercedes (bill hodges trilogy #1),Medium,1
More Than Music (Chasing the Dream #1),37.61,2,http://books.toscrape.com/more-than-music-chasing-the-dream-1_716/index.html,more than music (chasing the dream #1),Medium,2
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,http://books.toscrape.com/made-to-stick-why-some-ideas-survive-and-others-die_715/index.html,made to stick: why some ideas survive and others die,Medium,5
Luis Paints the World,53.95,3,http://books.toscrape.com/luis-paints-the-world_714/index.html,luis paints the world,High,3
Luckiest Girl Alive,49.83,3,http://books.toscrape.com/luckiest-girl-alive_713/index.html,luckiest girl alive,Medium,3
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,http://books.toscrape.com/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html,lowriders to the center of the earth (lowriders in space #2),High,2
Love Is a Mix Tape (Music #1),18.03,1,http://books.toscrape.com/love-is-a-mix-tape-music-1_711/index.html,love is a mix tape (music #1),Low,1
Looking for Lovely: Collecting the Moments that Matter,29.14,5,http://books.toscrape.com/looking-for-lovely-collecting-the-moments-that-matter_710/index.html,looking for lovely: collecting the moments that matter,Medium,5
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,http://books.toscrape.com/living-leadership-by-insight-a-good-leader-achieves-a-great-leader-builds-monuments_709/index.html,"living leadership by insight: a good leader achieves, a great leader builds monuments",Medium,4
Let It Out: A Journey Through Journaling,26.79,5,http://books.toscrape.com/let-it-out-a-journey-through-journaling_708/index.html,let it out: a journey through journaling,Medium,5
Lady Midnight (The Dark Artifices #1),16.28,5,http://books.toscrape.com/lady-midnight-the-dark-artifices-1_707/index.html,lady midnight (the dark artifices #1),Low,5
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,http://books.toscrape.com/its-all-easy-healthy-delicious-weeknight-meals-in-under-30-minutes_706/index.html,"it's all easy: healthy, delicious weeknight meals in under 30 minutes",Low,1
Island of Dragons (Unwanteds #7),29.65,1,http://books.toscrape.com/island-of-dragons-unwanteds-7_705/index.html,island of dragons (unwanteds #7),Medium,1
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,http://books.toscrape.com/i-know-what-im-doing-and-other-lies-i-tell-myself-dispatches-from-a-life-under-construction_704/index.html,i know what i'm doing -- and other lies i tell myself: dispatches from a life under construction,Medium,4
I Am Pilgrim (Pilgrim #1),10.6,4,http://books.toscrape.com/i-am-pilgrim-pilgrim-1_703/index.html,i am pilgrim (pilgrim #1),Low,4
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,http://books.toscrape.com/hyperbole-and-a-half-unfortunate-situations-flawed-coping-mechanisms-mayhem-and-other-things-that-happened_702/index.html,"hyperbole and a half: unfortunate situations, flawed coping mechanisms, mayhem, and other things that happened",Low,5
"Hush, Hush (Hush, Hush #1)",47.02,3,http://books.toscrape.com/hush-hush-hush-hush-1_701/index.html,"hush, hush (hush, hush #1)",Medium,3
Hold Your Breath (Search and Rescue #1),28.82,1,http://books.toscrape.com/hold-your-breath-search-and-rescue-1_700/index.html,hold your breath (search and rescue #1),Medium,1
Hamilton: The Revolution,58.79,3,http://books.toscrape.com/hamilton-the-revolution_699/index.html,hamilton: the revolution,High,3
Greek Mythic History,10.23,5,http://books.toscrape.com/greek-mythic-history_698/index.html,greek mythic history,Low,5
God: The Most Unpleasant Character in All Fiction,30.03,5,http://books.toscrape.com/god-the-most-unpleasant-character-in-all-fiction_697/index.html,god: the most unpleasant character in all fiction,Medium,5
Glory over Everything: Beyond The Kitchen House,45.84,3,http://books.toscrape.com/glory-over-everything-beyond-the-kitchen-house_696/index.html,glory over everything: beyond the kitchen house,Medium,3
Feathers: Displays of Brilliant Plumage,49.05,3,http://books.toscrape.com/feathers-displays-of-brilliant-plumage_695/index.html,feathers: displays of brilliant plumage,Medium,3
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,http://books.toscrape.com/far-away-places-on-the-brink-of-change-seven-continents-twenty-five-years_694/index.html,"far & away: places on the brink of change: seven continents, twenty-five years",Low,4
Every Last Word,46.47,3,http://books.toscrape.com/every-last-word_693/index.html,every last word,Medium,3
Eligible (The Austen Project #4),27.09,3,http://books.toscrape.com/eligible-the-austen-project-4_692/index.html,eligible (the austen project #4),Medium,3
El Deafo,57.62,5,http://books.toscrape.com/el-deafo_691/index.html,el deafo,High,5
Eight Hundred Grapes,14.39,4,http://books.toscrape.com/eight-hundred-grapes_690/index.html,eight hundred grapes,Low,4
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,http://books.toscrape.com/eaternity-more-than-150-deliciously-easy-vegan-recipes-for-a-long-healthy-satisfied-joyful-life_689/index.html,"eaternity: more than 150 deliciously easy vegan recipes for a long, healthy, satisfied, joyful life",High,5
"Eat Fat, Get Thin",54.07,2,http://books.toscrape.com/eat-fat-get-thin_688/index.html,"eat fat, get thin",High,2
Don't Get Caught,55.35,1,http://books.toscrape.com/dont-get-caught_687/index.html,don't get caught,High,1
Doctor Sleep (The Shining #2),40.12,2,http://books.toscrape.com/doctor-sleep-the-shining-2_686/index.html,doctor sleep (the shining #2),Medium,2
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,http://books.toscrape.com/demigods-magicians-percy-and-annabeth-meet-the-kanes-percy-jackson-kane-chronicles-crossover-1-3_685/index.html,demigods & magicians: percy and annabeth meet the kanes (percy jackson & kane chronicles crossover #1-3),Medium,5
Dear Mr. Knightley,11.21,5,http://books.toscrape.com/dear-mr-knightley_684/index.html,dear mr. knightley,Low,5
Daily Fantasy Sports,36.58,1,http://books.toscrape.com/daily-fantasy-sports_683/index.html,daily fantasy sports,Medium,1
Crazy Love: Overwhelmed by a Relentless God,47.72,2,http://books.toscrape.com/crazy-love-overwhelmed-by-a-relentless-god_682/index.html,crazy love: overwhelmed by a relentless god,Medium,2
Cometh the Hour (The Clifton Chronicles #6),25.01,3,http://books.toscrape.com/cometh-the-hour-the-clifton-chronicles-6_681/index.html,cometh the hour (the clifton chronicles #6),Medium,3
Code Name Verity (Code Name Verity #1),22.13,4,http://books.toscrape.com/code-name-verity-code-name-verity-1_680/index.html,code name verity (code name verity #1),Medium,4
Clockwork Angel (The Infernal Devices #1),44.14,1,http://books.toscrape.com/clockwork-angel-the-infernal-devices-1_679/index.html,clockwork angel (the infernal devices #1),Medium,1
